,id,review_scores_cleanliness,review_scores_checkin,review_scores_location
363,384780,4.7,4.6,4.78
364,465781,4.88,4.81,4.19
365,465821,,,
366,466017,5.0,5.0,4.88
367,422308,4.36,4.99,4.7
368,385019,,,
369,468033,,,
370,387835,4.92,4.97,4.92
371,468283,4.6,4.7,4.29
372,422748,4.5,4.68,4.11
373,387935,4.91,5.0,4.91
374,424511,,,
375,468438,4.5,4.82,4.53
376,387939,4.24,4.76,4.77
377,469125,4.8,4.9,4.6
378,425143,4.67,4.88,4.78
379,387951,,,
380,426354,5.0,5.0,4.57
381,469187,4.79,4.91,4.85
382,388030,4.75,4.8,4.54
383,469189,4.67,4.94,4.89
384,427229,,,
385,388032,4.68,4.78,4.48
386,427327,,,
387,427348,4.33,4.76,4.43
388,469198,5.0,5.0,4.88
389,469219,4.83,5.0,4.83
390,388306,,,
391,469630,4.65,4.96,4.46
392,427936,4.95,4.95,4.87
393,388387,,,
394,428432,,,
395,469676,4.5,4.71,4.26
396,388674,4.32,4.88,4.52
397,388700,4.62,4.97,4.71
398,470205,,,
399,470503,4.39,4.7,4.87
400,388721,4.67,4.83,4.83
401,388743,,,
402,471228,4.43,4.82,4.45
403,428716,4.9,4.8,4.77
404,388995,,,
405,429045,,,
406,471753,,,
407,389079,4.97,4.89,4.93
408,472185,5.0,4.93,4.71
409,429900,,,
410,389108,5.0,4.0,5.0
411,472203,4.77,5.0,4.0
412,389125,4.83,4.8,4.75
413,473073,4.28,4.53,4.12
414,431775,,,
415,389544,5.0,5.0,4.61
416,432567,4.88,4.81,4.35
417,389568,,,
418,389570,4.43,4.86,4.64
419,473145,4.52,4.82,4.36
420,389747,,,
421,473637,,,
422,432795,4.6,4.8,4.4
423,389862,4.61,4.94,4.83
424,432841,4.79,4.92,4.83
425,389967,4.89,4.97,4.82
426,475700,4.86,5.0,5.0
427,390316,4.86,4.93,4.93
428,476659,4.65,4.86,4.78
429,433867,3.5,4.57,4.57
430,390319,4.83,4.86,4.69
431,434555,,,
432,434666,,,
433,434962,4.82,4.99,4.94
434,390320,4.87,4.89,4.7
435,435600,4.6,4.95,4.75
436,476808,4.0,4.67,4.67
437,390356,4.81,4.97,4.79
438,477286,4.62,4.95,4.7
439,436257,4.91,4.97,4.73
440,390535,3.4,3.8,3.8
441,479906,,,
442,390610,4.52,4.83,4.97
443,481999,4.73,5.0,4.73
444,436446,4.97,5.0,4.92
445,390750,4.84,4.92,4.7
446,436458,4.79,4.94,4.83
447,437224,,,
448,482178,4.95,5.0,4.92
449,483400,4.75,5.0,4.75
450,483891,,,
451,390876,5.0,5.0,5.0
452,437722,4.88,4.83,4.98
453,438230,3.0,3.0,3.5
454,390881,4.5,4.9,4.7
455,438421,4.63,4.69,4.95
456,486032,,,
457,486373,,,
458,390988,4.74,4.77,4.35
459,486501,5.0,5.0,4.0
460,391035,4.94,4.94,4.77
461,438531,4.71,4.86,5.0
462,391273,4.93,4.99,4.77
463,438577,4.0,4.25,3.75
464,391288,,,
465,439489,4.74,4.91,4.9
466,486627,4.86,4.96,4.74
467,487430,4.25,4.7,4.25
468,391529,3.6,4.8,4.2
469,487783,4.88,4.9,4.89
470,441459,4.72,4.92,4.23
471,391672,4.94,4.9,4.56
472,391767,4.9,4.99,4.8
473,441525,4.2,4.76,4.75
474,489405,4.86,4.92,4.8
475,391808,4.85,4.89,4.95
476,441813,,,
477,392141,4.86,5.0,4.81
478,442178,4.93,4.94,4.9
479,442418,,,
480,492007,3.91,4.36,3.73
481,392246,4.95,5.0,4.79
482,392263,4.38,4.54,4.77
483,492830,4.17,4.83,3.8
484,392785,3.8,4.92,4.78
485,492883,5.0,5.0,5.0
486,492937,4.55,4.74,4.61
487,442457,4.67,4.87,4.67
488,442992,4.93,4.88,4.77
489,393177,,,
490,443263,4.81,4.88,4.81
491,492946,4.59,4.92,4.84
492,394755,5.0,5.0,5.0
493,493394,,,
494,443735,4.5,5.0,4.25
495,395062,4.79,4.92,4.67
496,444886,4.73,4.91,4.73
497,444981,,,
498,493679,5.0,5.0,5.0
499,493965,3.83,4.5,4.5
500,396235,4.73,4.87,4.71
501,494343,4.68,4.9,4.75
502,445346,4.97,5.0,4.88
503,396523,4.47,4.83,4.56
504,445772,4.63,4.93,4.73
505,446634,4.0,5.0,4.0
506,494880,,,
507,496676,,,
508,497196,4.74,4.93,4.58
509,397262,4.71,5.0,4.57
510,446815,3.98,4.88,4.9
511,397504,4.96,4.96,4.91
512,446912,4.96,4.96,5.0
513,447223,5.0,5.0,4.3
514,498888,4.56,5.0,4.69
515,397507,4.76,5.0,4.88
516,500795,,,
517,500985,,,
518,447891,4.98,4.96,4.83
519,398147,4.68,4.76,4.57
520,448589,4.72,5.0,4.72
521,501458,4.75,5.0,5.0
522,501837,4.38,4.83,4.88
523,400742,,,
524,502190,4.73,4.87,4.61
525,449399,4.75,5.0,4.65
526,400873,,,
527,450314,4.6,5.0,4.89
528,503017,,,
529,503151,4.53,4.78,4.74
530,401177,4.85,4.84,4.64
531,503331,4.9,4.94,4.77
532,504310,,,
533,450460,4.91,4.96,4.84
534,450481,,,
535,450631,4.73,4.85,4.7
536,401323,3.0,4.5,4.75
537,401330,4.91,4.99,4.79
538,401951,,,
539,451654,4.49,4.86,4.32
540,504867,4.52,4.86,4.71
541,401972,4.48,5.0,4.9
542,505926,5.0,5.0,4.88
543,452350,4.67,4.97,4.94
544,452538,4.64,4.93,4.76
545,452552,,,
546,402739,4.84,4.96,4.92
547,453797,4.9,4.97,4.73
548,506317,,,
549,506980,,,
550,506997,5.0,5.0,4.83
551,402783,,,
552,507480,4.49,4.46,4.6
553,454008,4.69,4.82,4.77
554,403038,4.71,5.0,5.0
555,454047,4.79,4.91,4.81
556,454496,4.36,4.43,4.29
557,507677,4.71,4.88,4.59
558,406409,,,
559,507962,5.0,5.0,5.0
560,454602,,,
561,454613,,,
562,406777,4.89,4.94,4.5
563,455178,,,
564,455277,5.0,5.0,5.0
565,508343,4.43,4.85,4.47
566,406898,4.93,4.86,4.54
567,509099,4.25,4.94,4.93
568,455450,4.32,4.76,4.73
569,455899,4.63,4.81,4.59
570,407303,4.59,4.93,4.72
571,458015,4.92,4.81,4.94
572,510304,,,
573,407475,4.47,4.93,4.4
574,458605,4.73,4.91,4.85
575,407529,4.84,4.98,4.72
576,459237,4.89,4.94,4.75
577,510386,4.58,4.74,4.97
578,511068,4.0,4.75,5.0
579,408888,,,
580,459877,4.68,4.79,4.47
581,409043,4.58,4.89,4.65
582,460379,,,
583,511429,4.93,4.95,4.81
584,511768,4.73,4.71,4.84
585,563693,4.6,4.95,4.85
586,511913,4.57,4.83,4.48
587,512822,4.71,5.0,4.71
588,512853,4.79,4.9,4.55
589,515327,4.38,4.88,4.38
590,515775,,,
591,516849,4.75,5.0,5.0
592,517283,4.55,4.76,4.64
593,564861,4.05,4.95,4.89
594,518364,,,
595,512882,4.68,4.91,4.73
596,565214,4.73,4.82,4.27
597,519190,4.95,4.9,4.95
598,565442,4.78,4.5,4.65
599,519660,4.87,4.96,4.84
600,512992,4.65,4.5,4.27
601,565640,,,
602,565770,4.4,4.72,4.33
603,513198,3.5,4.78,4.69
604,520350,4.93,4.87,5.0
605,520959,4.96,4.96,5.0
606,566338,4.46,4.91,4.5
607,520962,4.85,4.92,4.8
608,514637,4.45,4.91,4.52
609,566364,4.2,4.2,5.0
610,521274,4.82,4.96,4.63
611,566427,,,
612,515149,4.7,4.95,4.73
613,566957,4.83,4.74,4.87
614,515178,,,
615,521547,4.85,4.9,4.31
616,567040,4.0,4.5,4.5
617,521771,4.96,4.97,4.49
618,604185,4.99,4.98,4.87
619,567534,4.5,4.7,5.0
620,521982,4.21,4.79,4.55
